,train_mov,train_reg,val_mov,val_reg
0,0.045239225029945374,0.0,9.166428753815126e-07,0.0
1,1.393176830788434e-06,0.0,1.5273434428308974e-06,0.0
2,4.013809757452691e-06,0.0,6.225370441370615e-08,0.0
3,1.012567099678563e-05,0.0,2.0175839665625972e-07,0.0
4,3.2012392239266774e-06,0.0,2.064549136093774e-07,0.0
5,3.453479394011083e-06,0.0,1.2379067584333825e-06,0.0
6,2.5699955585878342e-06,0.0,4.5803368209362816e-08,0.0
7,3.4126562695746543e-06,0.0,1.0463467958743422e-07,0.0
8,1.604477461114584e-06,0.0,3.888781563432531e-08,0.0
9,1.4642250789620448e-06,0.0,4.838916112248626e-08,0.0
10,6.250860451473272e-07,0.0,8.726370737122124e-09,0.0
11,9.374596174893668e-07,0.0,6.284678022439039e-08,0.0
12,9.546118917569402e-07,0.0,2.3180758645935384e-08,0.0
13,6.042780114512425e-06,0.0,1.1987290804427175e-07,0.0
14,2.0444618087367417e-07,0.0,7.935422985383411e-09,0.0
15,2.772837433440145e-06,0.0,1.4160444550270768e-07,0.0
16,1.155974942435023e-07,0.0,2.1320578635908305e-09,0.0
17,2.6564742938717245e-07,0.0,3.991682540060992e-09,0.0
18,5.070776865068183e-07,0.0,2.957303024686553e-07,0.0
19,1.225479536515195e-06,0.0,4.630031980923377e-06,0.0
20,5.127431563778373e-07,0.0,4.056283309239461e-09,0.0
21,4.7619761289752205e-07,0.0,2.7404201130565298e-09,0.0
22,8.602911094612864e-08,0.0,5.166153282942787e-09,0.0
23,5.585474127656198e-07,0.0,1.945713101747515e-08,0.0
24,1.4643271128989e-07,0.0,2.377917773799254e-08,0.0
25,3.5087168726022355e-07,0.0,5.655116375180569e-09,0.0
26,5.6169302098396656e-08,0.0,3.892071109845574e-09,0.0
27,1.6298068317155412e-07,0.0,2.58793960483672e-07,0.0
28,4.0316717786481604e-07,0.0,3.200930365210297e-08,0.0
29,1.5849634849018912e-07,0.0,2.158659917483874e-08,0.0
30,2.8670866569768805e-08,0.0,9.114779153662766e-09,0.0
31,7.487632558422774e-08,0.0,4.430132705124379e-09,0.0
32,1.1316658543591984e-07,0.0,1.49569512331027e-08,0.0
33,4.7860744700756186e-08,0.0,2.7402734303905163e-07,0.0
34,1.0614986223345113e-07,0.0,1.0035758002402417e-08,0.0
35,1.0664934535498105e-07,0.0,3.896444127349241e-07,0.0
36,3.113470015136954e-08,0.0,2.5301330808247258e-08,0.0
37,1.3384497776769422e-07,0.0,2.7106517030972554e-10,0.0
38,1.672157878829239e-08,0.0,3.1481079076911556e-08,0.0
39,6.874270752632583e-08,0.0,6.419286213699138e-10,0.0
40,9.95013124338584e-07,0.0,2.0541407463881e-10,0.0
41,1.8462021245113647e-08,0.0,3.550486127323893e-08,0.0
42,3.026244854709148e-08,0.0,8.003365192799095e-10,0.0
43,5.6013984561786856e-08,0.0,2.0971877567887987e-09,0.0
44,4.785288965081236e-08,0.0,2.9213265140271005e-09,0.0
45,6.5924656844629226e-09,0.0,4.1068290435042343e-10,0.0
46,1.5969236244472995e-07,0.0,4.2655909360256317e-10,0.0
47,1.92511357965941e-08,0.0,6.051535661466545e-11,0.0
48,1.9404831519409527e-08,0.0,4.1983851950533335e-09,0.0
49,4.913989215538095e-09,0.0,9.150513236022562e-09,0.0
50,4.421892541017769e-08,0.0,3.705279139065709e-10,0.0
51,3.2860612009244505e-08,0.0,1.2185572551004498e-09,0.0
52,2.490034667346208e-08,0.0,2.1551362083815917e-10,0.0
53,4.5961459704813024e-07,0.0,3.7460394786137385e-09,0.0
54,5.153777404842685e-10,0.0,8.163614673151187e-09,0.0
55,2.628349271560637e-08,0.0,9.273860013259139e-10,0.0
56,1.9555482566602223e-08,0.0,1.3320504421709956e-10,0.0
57,9.563173364313116e-09,0.0,1.4962810990226671e-09,0.0
58,4.7349177911826246e-09,0.0,1.641862618084744e-10,0.0
59,8.357943670489476e-09,0.0,5.742172015654745e-11,0.0
60,8.294288988963672e-08,0.0,3.0786314469954945e-11,0.0
61,5.726635832203897e-10,0.0,2.6579477507837623e-10,0.0
62,1.040671815388805e-08,0.0,7.792626960378968e-11,0.0
63,3.0212710111499064e-09,0.0,4.654915342072741e-11,0.0
64,4.234303929706584e-08,0.0,1.4262042935531127e-10,0.0
65,3.025197314876493e-10,0.0,4.036631862103235e-10,0.0
66,4.400401376614127e-09,0.0,3.0365929770681532e-09,0.0
67,3.650551194667173e-09,0.0,1.3915715690870911e-08,0.0
68,4.35558078493159e-09,0.0,2.3604286927825235e-11,0.0
69,1.7594875556525835e-09,0.0,4.2484866319414394e-11,0.0
70,4.372235462568597e-09,0.0,6.769090288294421e-10,0.0
71,1.3888978855902678e-09,0.0,3.900091805064676e-09,0.0
72,7.540736035593909e-09,0.0,1.074961231140037e-09,0.0
73,2.8640034788196544e-09,0.0,4.096307293366408e-09,0.0
74,4.2920517140387915e-10,0.0,3.467853781913277e-11,0.0
75,5.176653328220482e-09,0.0,1.4137530035540635e-10,0.0
76,3.8299380333839395e-10,0.0,5.720340173764882e-11,0.0
77,1.8738071094759334e-09,0.0,6.518402484445573e-10,0.0
78,2.3657202863347493e-09,0.0,3.616599034139689e-11,0.0
79,1.9124315464580377e-09,0.0,4.431608552346589e-11,0.0
80,5.305733630223131e-10,0.0,7.648916167113384e-09,0.0
81,3.121379155146542e-09,0.0,1.7718568279256885e-10,0.0
82,4.4885024585994415e-09,0.0,1.382815528749859e-10,0.0
83,5.6293632949566685e-11,0.0,1.0856598953168373e-10,0.0
84,3.1368760922134697e-09,0.0,3.3677730743031375e-11,0.0
85,1.7695633847125691e-09,0.0,3.7090216314927815e-11,0.0
86,4.318666813052374e-10,0.0,1.5764252750405383e-11,0.0
87,1.6697704330326246e-09,0.0,7.220805984392564e-12,0.0
88,4.015590915340539e-10,0.0,1.361576216357685e-11,0.0
89,9.84126002911978e-10,0.0,5.81817594103029e-10,0.0
90,1.622447842741792e-09,0.0,7.089933501402967e-11,0.0
91,9.65888924397973e-10,0.0,1.9087590882871375e-11,0.0
92,1.71241604229877e-10,0.0,1.6475293351803089e-10,0.0
93,1.882809241848804e-09,0.0,1.1554477374886574e-08,0.0
94,2.1689698648241773e-10,0.0,3.345664023601813e-11,0.0
