,train_mov,train_reg,val_mov,val_reg
0,0.01180981658399105,0.0,0.001293318928219378,0.0
1,0.0010539076756685972,0.0,0.000768215162679553,0.0
2,0.0005485531291924417,0.0,0.00035115075297653675,0.0
3,0.00030160718597471714,0.0,0.00035852676955983043,0.0
4,0.00020971331105101854,0.0,8.69316136231646e-05,0.0
5,5.563181184697896e-05,0.0,1.3583426152763423e-05,0.0
6,1.6566878912271932e-05,0.0,4.385915872262558e-06,0.0
7,9.88872579910094e-06,0.0,8.495027032040525e-06,0.0
8,6.967330136831151e-06,0.0,9.293597940995824e-06,0.0
9,4.539499514066847e-06,0.0,3.427766159802559e-06,0.0
10,4.50110383098945e-06,0.0,2.4713845050428063e-06,0.0
11,3.5885980196326273e-06,0.0,2.5170252229145262e-06,0.0
12,3.765827841561986e-06,0.0,5.712271558877546e-06,0.0
13,4.335163794166874e-06,0.0,1.980559545700089e-06,0.0
14,2.7635473998088855e-06,0.0,1.2730994285448105e-06,0.0
15,2.256223979202332e-06,0.0,1.5281246987797203e-06,0.0
16,3.059630216739606e-06,0.0,1.387356974191789e-06,0.0
17,1.5673529105697526e-06,0.0,1.2258957440280938e-06,0.0
18,1.802424435481953e-06,0.0,1.7374022718286142e-06,0.0
19,1.8757170892058639e-06,0.0,6.868394279990753e-07,0.0
20,1.558098006171349e-06,0.0,8.5956565953893e-07,0.0
21,1.6003202745196177e-06,0.0,8.795506687420129e-07,0.0
22,1.1843019365187502e-06,0.0,1.5266126638380229e-06,0.0
23,1.4703150554851163e-06,0.0,1.5428292954311473e-06,0.0
24,1.0632770681695547e-06,0.0,6.156643053145672e-07,0.0
25,8.138948146552138e-07,0.0,4.7064685304576415e-07,0.0
26,1.053845380738494e-06,0.0,5.630682267110387e-07,0.0
27,1.350597358396044e-06,0.0,3.830605805887899e-07,0.0
28,7.302281233023677e-07,0.0,5.689599333891238e-07,0.0
29,9.23242964745441e-07,0.0,3.176462826104398e-07,0.0
30,6.231513225429808e-07,0.0,1.7494501207693247e-06,0.0
31,5.169513315195218e-07,0.0,5.566284357882978e-07,0.0
32,5.124278459334164e-07,0.0,3.2003137562242046e-07,0.0
33,1.2468054819692043e-06,0.0,4.748567903334333e-07,0.0
34,4.081447855242004e-07,0.0,1.0886233212659135e-06,0.0
35,6.031621637703211e-07,0.0,2.1198562194513215e-07,0.0
36,3.6755676546817995e-07,0.0,2.6837787459044193e-07,0.0
37,3.700252761973388e-07,0.0,3.2227404744844534e-07,0.0
38,3.6202487763148383e-07,0.0,2.4100810946947604e-07,0.0
39,4.229279966239119e-07,0.0,4.2251440390828066e-07,0.0
40,9.562411378283286e-07,0.0,1.243582232746121e-07,0.0
41,2.670945491445309e-07,0.0,2.487679466867121e-07,0.0
42,4.403466959956859e-07,0.0,2.131653928927335e-07,0.0
43,2.282283162458043e-07,0.0,3.022026078269846e-07,0.0
44,4.526186785369646e-07,0.0,1.644939260359024e-07,0.0
45,3.3052779713216296e-07,0.0,4.858202373725362e-07,0.0
46,2.3833901252601208e-07,0.0,2.054182175470487e-07,0.0
47,2.5356726496283954e-07,0.0,1.192950662698422e-07,0.0
48,1.8327786222016584e-07,0.0,1.0685936757681702e-07,0.0
49,3.222201598873653e-07,0.0,1.5217693771774066e-07,0.0
