,train_mov,train_reg,val_mov,val_reg
0,0.01100181695073843,7.941795843180444e-07,2.4995965759444516e-06,1.3173479196382232e-08
1,3.044629238502239e-06,4.671076858642209e-09,1.0177503781960695e-06,2.1241415293360433e-09
2,2.095162017212715e-06,1.4629354394557481e-09,1.6101472510854364e-07,1.4178352936156102e-09
3,1.7627653505769558e-06,8.720746902390886e-10,1.3627136752347724e-08,2.3142206206916427e-10
4,2.2235756205191137e-06,7.76762321130775e-10,1.059402698899703e-08,1.5667447894607278e-10
5,1.1872745062646572e-06,3.4383851321706516e-10,3.0206845025304574e-08,9.186711114050894e-11
6,5.437446475298202e-07,2.2386449638478467e-10,1.322241161005877e-07,2.686504074755902e-10
7,3.689360141834186e-07,1.8245208122102952e-10,2.0611112461210723e-07,1.7986205858022686e-09
