,train_mov,train_reg,val_mov,val_reg
0,0.11574126780033112,1.2538921509985812e-05,3.018856114067603e-05,1.2005382465929415e-08
1,1.547745910102094e-06,3.8095500087820255e-09,1.811583594246713e-08,6.131986585167226e-10
2,1.7863767425296828e-06,1.7237147820203802e-10,4.98930425862909e-08,2.0999061864368507e-11
3,2.525625859561842e-07,1.2893166569105663e-11,1.709023678131416e-08,7.265709301568224e-12
4,1.0827806562474507e-07,6.150104297358849e-12,6.790909878873208e-07,4.305206798699279e-12
5,1.4128909242572263e-07,4.2814072599706154e-12,2.0550949386688444e-08,4.1002435821613226e-12
6,7.702732318648486e-08,3.5768397792235174e-12,4.7805208680529176e-08,3.663554702659777e-12
7,4.483563387225331e-08,3.223023410658943e-12,5.2384912407887896e-08,3.452805966489003e-12
