,train_mov,train_reg,val_mov,val_reg
0,0.008434820920228958,0.0,0.001073099672794342,0.0
1,0.0008418576908297837,0.0,0.0006512327818199992,0.0
2,0.00048054297803901136,0.0,0.000346528016962111,0.0
3,0.00029212949448265135,0.0,0.0002832599566318095,0.0
4,0.0002395129413343966,0.0,0.00021276144252624363,0.0
5,0.00012928229989483953,0.0,6.674074393231422e-05,0.0
6,5.932340718572959e-05,0.0,3.253283284720965e-05,0.0
7,3.1528561521554366e-05,0.0,2.0790927010239102e-05,0.0
8,1.845125007093884e-05,0.0,1.0556799679761752e-05,0.0
9,8.368471753783524e-06,0.0,1.5063969840412028e-05,0.0
10,4.316779268265236e-06,0.0,5.786327619716758e-06,0.0
11,3.7034801607660484e-06,0.0,2.3083327960193856e-06,0.0
12,2.2495739813166438e-06,0.0,1.2659294270633836e-06,0.0
13,2.254156697745202e-06,0.0,1.4173602949085762e-06,0.0
14,1.7781287624529796e-06,0.0,1.2106839903935906e-06,0.0
15,2.0580955606419593e-06,0.0,1.3189360288379248e-06,0.0
16,1.9640665414044634e-06,0.0,8.598909744250705e-07,0.0
17,1.3899145869800122e-06,0.0,5.828244411532069e-07,0.0
18,1.4611961205446278e-06,0.0,7.363375971181085e-07,0.0
19,1.0528552820687764e-06,0.0,6.262072815843567e-07,0.0
20,1.9750332285184413e-06,0.0,4.924521022076078e-07,0.0
21,1.1139208027088898e-06,0.0,6.196082722453866e-07,0.0
22,1.3086049648336484e-06,0.0,6.487429686785617e-07,0.0
23,1.448354055355594e-06,0.0,4.784432690030371e-07,0.0
24,7.296126227629429e-07,0.0,4.804696800420061e-07,0.0
25,1.0672641792552895e-06,0.0,3.865568487526616e-07,0.0
26,7.418910854539718e-07,0.0,4.027071156542661e-07,0.0
27,8.410114560319926e-07,0.0,8.321862310367578e-07,0.0
28,1.0342552059228183e-06,0.0,4.2072255723724084e-07,0.0
29,6.301489747784217e-07,0.0,3.93976563373144e-07,0.0
30,1.2608495580934687e-06,0.0,3.2054362009148463e-07,0.0
31,5.545299472942133e-07,0.0,7.934311270219041e-07,0.0
32,5.328683414518309e-07,0.0,4.095953158866905e-07,0.0
33,5.776194598183793e-07,0.0,5.618559271169943e-07,0.0
34,6.404737291632046e-07,0.0,3.3978380997723434e-07,0.0
35,4.954555947733752e-07,0.0,8.701798037691333e-07,0.0
36,5.023528046876891e-07,0.0,3.071423577694077e-07,0.0
37,4.886707074547303e-07,0.0,3.426128785122273e-07,0.0
38,4.7640298816986615e-07,0.0,3.1888438911664707e-07,0.0
39,3.9322677025666053e-07,0.0,3.2656976145517547e-07,0.0
40,4.347382116520748e-07,0.0,2.7950957814937283e-07,0.0
41,3.719432584148308e-07,0.0,2.2111122177648213e-07,0.0
42,4.084150191374647e-07,0.0,2.756352728283673e-07,0.0
43,4.0992850358634314e-07,0.0,2.398560354777146e-07,0.0
44,4.071532089255925e-07,0.0,3.609832788242784e-07,0.0
45,4.2336452565905347e-07,0.0,2.629410573717905e-07,0.0
46,4.980805670129484e-07,0.0,2.2136561028673896e-07,0.0
47,3.8484498077195894e-07,0.0,2.2395191479063215e-07,0.0
48,3.7221488469185715e-07,0.0,3.042989078494429e-07,0.0
49,3.150837812881946e-07,0.0,2.3771853818743693e-07,0.0
