,train_mov,train_reg,val_mov,val_reg
0,0.008980855345726013,0.0,0.0020407396368682384,0.0
1,0.0009962511248886585,0.0,0.0006993006682023406,0.0
2,0.0005234999116510153,0.0,0.00039322272641584277,0.0
3,0.0003335854271426797,0.0,0.0003539570898283273,0.0
4,0.0002469210885465145,0.0,0.0002318981132702902,0.0
5,0.00011256950529059395,0.0,4.934015669277869e-05,0.0
6,2.8306933018029667e-05,0.0,7.369138529611519e-06,0.0
7,1.4536613889504224e-05,0.0,3.4164652333856793e-06,0.0
8,6.457577001128811e-06,0.0,6.751861292286776e-06,0.0
9,4.886139777227072e-06,0.0,3.3075937153626e-06,0.0
10,4.056230409332784e-06,0.0,1.1553619287951733e-06,0.0
11,4.0381237340625376e-06,0.0,1.2727060720862937e-06,0.0
12,3.877495601045666e-06,0.0,1.2515524758782703e-06,0.0
13,3.442615707172081e-06,0.0,1.3870936754756258e-06,0.0
14,2.1124906197655946e-06,0.0,1.237472474713286e-06,0.0
15,2.061575059997267e-06,0.0,8.4502238451023e-07,0.0
16,1.9087208329438e-06,0.0,1.7055225498552318e-06,0.0
17,2.549547161834198e-06,0.0,1.0223322988167638e-06,0.0
18,2.580880163804977e-06,0.0,9.997644383474835e-07,0.0
19,1.5696048194513423e-06,0.0,1.8428842167850235e-06,0.0
20,1.0873440032810322e-06,0.0,7.368269621110812e-07,0.0
21,1.6956417994151707e-06,0.0,1.0128125040864688e-06,0.0
22,1.0047551768366247e-06,0.0,7.849889698263723e-07,0.0
23,1.3766214124188991e-06,0.0,7.700397759435873e-07,0.0
24,1.11564577309764e-06,0.0,5.363423838389281e-07,0.0
25,8.380193889934162e-07,0.0,7.97575410160789e-07,0.0
26,1.780471507117909e-06,0.0,5.926988251303555e-07,0.0
27,7.359113283200713e-07,0.0,7.988808761183464e-07,0.0
28,8.125835506689327e-07,0.0,5.279041488392977e-07,0.0
29,7.676949280721601e-07,0.0,4.5999817643860297e-07,0.0
30,7.707778877374949e-07,0.0,8.618286528871977e-07,0.0
31,7.661033123440575e-07,0.0,6.068372613299289e-07,0.0
32,7.024422643553407e-07,0.0,5.061669412498304e-07,0.0
33,9.162345691038354e-07,0.0,7.446172958225361e-07,0.0
34,5.708144499294576e-07,0.0,5.359234478419239e-07,0.0
35,6.678986892438843e-07,0.0,6.593544981114974e-07,0.0
36,5.383678285397764e-07,0.0,4.228420777963038e-07,0.0
37,4.858185320699704e-07,0.0,5.32716796897148e-07,0.0
38,5.646953127325105e-07,0.0,4.571554654830834e-07,0.0
39,4.6131512476677017e-07,0.0,3.955927354581945e-07,0.0
40,6.070857807571883e-07,0.0,4.010562690837105e-07,0.0
41,4.4665051746051176e-07,0.0,4.265203301656584e-07,0.0
42,4.561422599635989e-07,0.0,3.7562344346042664e-07,0.0
43,4.742972805615864e-07,0.0,5.9955209508189e-07,0.0
44,4.15809040532622e-07,0.0,3.5387333241487795e-07,0.0
45,4.203554055948189e-07,0.0,3.363942653322738e-07,0.0
46,4.61716012978286e-07,0.0,3.361042217875365e-07,0.0
47,4.015490731035243e-07,0.0,4.159916784374218e-07,0.0
48,5.060059038441977e-07,0.0,3.2491357160324696e-07,0.0
49,3.816750222540577e-07,0.0,3.8210603747756977e-07,0.0
